Title,Alt Title,CCLI#,Key
Oceans,,6428767,"D,D,G,G"
This Is Amazing Grace,,6333821,"G,Bb,Bb,A"
All the Poor and Powerless,,5881130,"A,A,B,B"
Lord I Need You,,5925687,"B,B,B,B"
In Christ Alone,Passion,3350395,"D,D,E,E"
"10,000 Reasons",,6016351,"G,G,G,G"
Whom Shall I Fear,God of Angel Armies,6440288,"C,C,C,C"
Hosanna,Praise is Rising,4662491,"G,G,A,A"
Mercy,,7000689,"C,C,C,C"
How Great Is Our God,,4348399,"C,C,C,C"
You Are My All In All,,825356,"F,F,G,G"
Our God,,5677416,"B,B,B,B"
Open the Eyes of My Heart,,2298355,"E,E,B,B"
Better Is One Day,,1097451,"E,E,E,E"
I Will Follow,,5806878,"A,Bb,G,G"
Shout to the Lord,,1406918,"A,A,B,B"
Before The Throne of God Above,,2306412,"D,D,Eb,D"
Beautiful One,,3915912,"D,D,Eb,D"
Blessed Be Your Name,,3798438,"B,B,B,B"
Here For You,,5925649,"G,Ab,C,C"
Here I Am To Worship,,3266032,"E,E,C,C"
Healer,,4873981,"B,B,A,A"
It Is Well,Hymn,25376,"C,C,Db,C"
Cornerstone,,6158927,"C,C,C,C"
Your Great Name,,5393329,"C,C,F#,F"
The Wonderful Cross,,3148435,"D,D,E,E"
Because He Lives,,16880,"G,Ab,A,A"
Revelation Song,,4447960,"D,D,E,E"
Great Is Thy Faithfulness,,18723,"D,D,E,E"
Forever,Sing Praise,3148428,"A,A,Bb,A"
One Thing Remains,,5508444,"G,Bb,Db,C"
Lead Me to the Cross,,4785828,"D,D,G,G"
Your Grace is Enough,,4477026,"G,G,G,G"
Hosanna,,4785835,"E,E,E,E"
Mighty to Save,,4591782,"A,A,C,C"
Everlasting God,,4556538,"A,Bb,B,B"
The Stand,,4705248,"A,A,B,B"
Indescribable,,4403076,"G,Bb,B,B"
Amazing Grace,My Chains Are Gone,4768151,"F,F,G,G"
Heart of Worship,,2296522,"D,D,G,G"
From The Inside Out,,4705176,"C,C,C,C"
Stronger,,5060810,"C,C,C,C"
Your Love Never Fails,,5337172,"A,Bb,Bb,A"
Majesty,,4219071,"A,Bb,C,C"
Jesus Messiah,,5183443,"B,B,B,B"
I Will Rise,,5183450,"B,B,B,B"
God of Wonders,,3118757,"G,Ab,Bb,G,G"
You Are My King,Amazing Love,2456623,"E,E,D,D"
How Deep the Father's Love for Us,,1558110,"D,D,F,F"
Scandal of Grace,,6428750,"C,C,C,C"
Forever,We Sing Hallelujah,7001228,"A,A,C,C"
Great Are You Lord,,6460220,"A,A,A,A"
